name,death_cause,date,agency_name,state,state_name
Private Jesse E. Nash,Assault,1839-05-26,Texas Rangers,TX,Texas
Private Thomas Gay,Gunfire,1839-05-26,Texas Rangers,TX,Texas
Private H. M. C. Hall,Gunfire,1839-05-27,Texas Rangers,TX,Texas
Watchman James P. Van Duzen,Other,1839-06-25,New York City Watch,NY,New York
Sheriff Joseph L. Hood,Other,1840-03-19,Bexar County Sheriff's Office,TX,Texas
Town Marshal John Yeomans,Gunfire,1840-05-24,Jacksonville Police Department,FL,Florida
Sheriff John B. Campbell,Gunfire,1841-01-23,Harrison County Sheriff's Office,TX,Texas
Guard Cyrus Sells,Assault,1841-06-09,Ohio Department of Rehabilitation and Correction,OH,Ohio
Prison Guard William Bullard,Assault,1841-06-14,Missouri Department of Corrections,MO,Missouri
Private Abram Trigg Smith,Gunfire,1841-08-05,Texas Rangers,TX,Texas
Sheriff Thomas Wooldridge,Gunfire,1842-05-19,Dubois County Sheriff's Department,IN,Indiana
"Warden Charles Lincoln, Jr.",Other,1843-06-18,Massachusetts Department of Correction,MA,Massachusetts
Sheriff Samuel B. Wingo,Gunfire,1843-08-31,Shannon County Sheriff's Department,MO,Missouri
Sheriff George Lee Phillips,Other,1843-09-23,Ashe County Sheriff's Office,NC,North Carolina
Sheriff Robert D. Lester,Gunfire,1844-03-21,Crawford County Sheriff's Department,WI,Wisconsin
Sheriff Lewis Williams,Gunfire,1844-04-26,Jackson County Sheriff's Department,FL,Florida
Private Peter Fohr,Assault,1844-06-08,Texas Rangers,TX,Texas
Keeper James Gastin,Assault,1844-10-31,Pennsylvania Department of Corrections,PA,Pennsylvania
Undersheriff Osman N. Steele,Gunfire,1845-08-07,Delaware County Sheriff's Office,NY,New York
Constable John Holton,Other,1845-11-24,Augusta Police Department,KY,Kentucky
Sheriff Lansford Stallings,Gunfire,1845-12-04,Cherokee County Sheriff's Office,AL,Alabama
Lieutenant John M. Brown,Other,1845-12-28,Cherokee Nation Marshal Service,TR,
Sheriff Samuel Grimmett,Gunfire,1847-04-11,Montgomery County Sheriff's Office,TX,Texas
Deputy Sheriff William Armstrong,Gunfire,1847-06-25,Hampshire County Sheriff's Office,VA,Virginia
Sheriff Enoch B. Morelock,Gunfire,1847-12-19,Sullivan County Sheriff's Office,MO,Missouri
Watchman David Estes,Gunfire,1848-04-27,Boston Watch,MA,Massachusetts
Watchman John Brasher,Gunfire,1849-05-06,Cincinnati Police Department,OH,Ohio
Watchman Peter Davison,Other,1849-06-25,Cincinnati Police Department,OH,Ohio
Patrolman Thomas Lynch,Assault,1849-09-27,New York Municipal Police Force,NY,New York
Patrolman William Helms,Other,1849-10-16,New York Municipal Police Force,NY,New York
Major Charles Grandison Bryant,Assault,1850-01-12,Texas Rangers,TX,Texas
Police Officer Ephraim Hibler,Gunfire,1850-05-26,St. Louis Metropolitan Police Department,MO,Missouri
Private William Gillespie,Assault,1850-05-29,Texas Rangers,TX,Texas
Sheriff Joseph McKinney,Gunfire,1850-08-15,Sacramento County Sheriff's Department,CA,California
Private John Lemon Wilbarger,Gunfire,1850-08-20,Texas Rangers,TX,Texas
"Private Daniel C. ""Doc"" Sullivan",Gunfire,1850-08-20,Texas Rangers,TX,Texas
Private Samuel Baker Barton,Assault,1851-01-27,Texas Rangers,TX,Texas
Private William Lackey,Assault,1851-02-03,Texas Rangers,TX,Texas
Patrolman George T. Gillespie,Assault,1851-07-10,New York Municipal Police Force,NY,New York
Sergeant Michael Foster,Other,1851-08-04,New York Municipal Police Force,NY,New York
Deputy Sheriff David Neil,Gunfire,1851-09-27,Smith County Sheriff's Office,TX,Texas
Deputy Sheriff James Holden,Gunfire,1851-09-27,Smith County Sheriff's Office,TX,Texas
Night Policeman William Baker,Other,1851-12-26,Philadelphia Police Department,PA,Pennsylvania
Sheriff James Preston Fulkerson,Gunfire,1852-04-04,Calhoun County Sheriff's Office,TX,Texas
Deputy Sheriff Moses Formwalt,Other,1852-05-01,DeKalb County Sheriff's Office,GA,Georgia
Watchman William T. Pullan,Assault,1852-05-18,Providence City Watch,RI,Rhode Island
Constable Gideon Manchester,Gunfire,1852-07-16,Fall River Police Department,MA,Massachusetts
Watchman Joseph Stoddard,Other,1852-09-10,Cincinnati Police Department,OH,Ohio
Deputy Sheriff Wesley F. Cherry,Gunfire,1853-03-06,King County Sheriff's Office,WA,Washington
Night Watchman Samuel H. Ferguson,Other,1853-04-21,Pittsburgh Night Watch,PA,Pennsylvania
Deputy Sheriff Rodney Badger,Other,1853-04-29,Salt Lake County Sheriff's Office,UT,Utah
Shadow George Trenchard,Other,1853-06-02,New York Municipal Police Force,NY,New York
Watchman John Osborne,Other,1853-12-01,Cleveland Police Department,OH,Ohio
Constable James Quinn,Assault,1853-12-05,Chicago Police Department,IL,Illinois
Constable Jack Wheelan,Other,1853-12-07,Los Angeles County Constable's Office,CA,California
Police Officer George R. Turner,Gunfire,1854-04-14,Stockton Police Department,CA,California
Officer Cyrus Beebe,Gunfire,1854-04-27,Columbus Division of Police,OH,Ohio
Constable William H. Hardmount,Gunfire,1854-09-02,Monterey County Constable's Office,CA,California
Patrolman Casper Lauer,Other,1854-09-18,Chicago Police Department,IL,Illinois
Patrolman James Cahill,Gunfire,1854-09-29,New York Municipal Police Force,NY,New York
Police Officer Maxwell Badgley,Other,1854-10-23,Newark Police Department,NJ,New Jersey
Patrolman David Gourley,Other,1854-11-05,New York Municipal Police Force,NY,New York
Deputy Sheriff William Harrison Reams,Other,1854-11-24,Laurel County Sheriff's Department,KY,Kentucky
Policeman John Sheldon,Other,1855-04-29,Sonora Police Department,CA,California
Sheriff William A. Phoenix,Gunfire,1855-08-12,Amador County Sheriff's Department,CA,California
Private William H. Clopton,Gunfire,1855-10-03,Texas Rangers,TX,Texas
Private Willis E. Jones,Gunfire,1855-10-03,Texas Rangers,TX,Texas
Private H. K. Holland,Gunfire,1855-10-03,Texas Rangers,TX,Texas
Private Augustus Smith,Gunfire,1855-10-03,Texas Rangers,TX,Texas
Deputy Sheriff Charles Layton,Gunfire,1855-11-10,Monterey County Sheriff's Department,CA,California
Deputy Sheriff Joaquin De La Torre,Gunfire,1855-11-10,Monterey County Sheriff's Department,CA,California
Deputy Sheriff Jim Beckwith,Gunfire,1855-11-10,Monterey County Sheriff's Department,CA,California
Night Watchman Thomas Cummins,Assault,1855-11-24,New Haven Police Department,CT,Connecticut
Police Officer Alexander Algeo,Gunfire,1856-03-26,New Orleans Police Department,LA,Louisiana
Lieutenant Levi Parker,Gunfire,1856-05-04,Cincinnati Police Department,OH,Ohio
Watchman Neil Mooney,Gunfire,1856-05-25,Philadelphia Police Department,PA,Pennsylvania
City Marshal David Johnson,Gunfire,1856-11-03,Nevada City Police Department,CA,California
Sheriff W. W. Wright,Gunfire,1856-11-03,Nevada County Sheriff's Office,CA,California
Sheriff John F. Taylor,Gunfire,1856-11-11,Winnebago County Sheriff's Office,IL,Illinois
Night Watchman John Omayer,Gunfire (Accidental),1856-11-13,Baltimore City Police Department,MD,Maryland
Police Officer William I. Van Arsdale,Other,1856-12-07,New Brunswick Police Department,NJ,New Jersey
Deputy Warden Galen Carter Walker,Other,1856-12-15,Massachusetts Department of Correction,MA,Massachusetts
Warden Solon Tenney,Other,1856-12-29,Massachusetts Department of Correction,MA,Massachusetts
Sheriff James R. Barton,Gunfire,1857-01-23,Los Angeles County Sheriff's Department,CA,California
Constable Charles K. Baker,Gunfire,1857-01-23,Los Angeles County Sheriff's Department,CA,California
Deputy Charles T. Daly,Gunfire,1857-01-23,Los Angeles County Sheriff's Department,CA,California
Constable William H. Little,Gunfire,1857-01-23,Los Angeles County Sheriff's Department,CA,California
Sheriff James M. Land,Gunfire,1857-03-22,Estill County Sheriff's Department,KY,Kentucky
Deputy Sheriff Jessie Arvin,Gunfire,1857-03-22,Estill County Sheriff's Department,KY,Kentucky
Patrolman Stephen P. Hardenbrook,Other,1857-04-15,New York Municipal Police Force,NY,New York
Deputized Civilian William B.M. Barbee,Gunfire,1857-05-24,Burleson County Constable's Office - Precinct 3,TX,Texas
Assistant City Marshal Frederick W. Fieldstrup,Gunfire,1857-05-29,San Antonio Police Department,TX,Texas
Special Patrolman Thomas Sparks,Assault,1857-07-09,New York Metropolitan Police Force,NY,New York
Patrolman Eugene Anderson,Gunfire,1857-07-20,New York Metropolitan Police Force,NY,New York
Sergeant William Jourdan,Gunfire,1857-10-14,Baltimore City Police Department,MD,Maryland
Patrolman Ezekiel Wentworth Hodsdon,Gunfire,1857-10-18,Boston Police Department,MA,Massachusetts
Patrolman Horatio Sanger,Assault,1857-11-22,New York Metropolitan Police Force,NY,New York
Sheriff William C. Getman,Gunfire,1858-01-07,Los Angeles County Sheriff's Department,CA,California
Sheriff Samuel Lee Lockhart,Other,1858-01-09,Llano County Sheriff's Office,TX,Texas
Special Police Officer George C. Chapman,Gunfire,1858-04-27,Sacramento Police Department,CA,California
Private William Earbee,Gunfire (Accidental),1858-05-05,Texas Rangers,TX,Texas
Private Robert Nickles,Other,1858-05-12,Texas Rangers,TX,Texas
Private Waco Indian,Gunfire,1858-05-12,Texas Rangers,TX,Texas
City Marshal Joseph Beard,Other,1858-07-10,Lexington Police Department,KY,Kentucky
Deputy Sheriff Travis Gibson,Other,1858-08-03,Campbell County Sheriff's Office,TN,Tennessee
Sheriff Sampson D. Queener,Other,1858-08-03,Campbell County Sheriff's Office,TN,Tennessee
Patrolman George Coulter,Gunfire,1858-08-17,Louisville Police Department,KY,Kentucky
Police Officer Benjamin Benton,Gunfire,1858-09-22,Baltimore City Police Department,MD,Maryland
Police Officer William Cooke,Gunfire,1858-10-18,Salt Lake City Police Department,UT,Utah
Police Officer Robert M. Rigdon,Gunfire,1858-11-08,Baltimore City Police Department,MD,Maryland
Policeman Joel N. McDonald,Gunfire,1858-11-26,Columbia Police Department,CA,California
Constable John Leary,Gunfire,1858-11-29,Columbia Police Department,CA,California
Constable David Welch,Gunfire,1859-01-11,Henderson County Sheriff's Office,IL,Illinois
Deputy Sheriff George W. Martin,Gunfire,1859-07-11,Placer County Sheriff's Department,CA,California
Jailer Robert L. Johnson,Gunfire,1859-09-28,Cameron County Sheriff's Office,TX,Texas
Constable George Morris,Gunfire,1859-09-28,Cameron County Constable's Office - Precinct 2,TX,Texas
Private John Fox,Gunfire,1859-11-16,Texas Rangers,TX,Texas
Private Thomas Grier,Gunfire,1859-11-16,Texas Rangers,TX,Texas
Private William McKay,Gunfire,1859-11-16,Texas Rangers,TX,Texas
Private Nicholas R. Milett,Gunfire,1859-11-16,Texas Rangers,TX,Texas
Private David Herman,Gunfire,1859-12-14,Texas Rangers,TX,Texas
Patrolman John Steward,Other,1859-12-20,New York Metropolitan Police Force,NY,New York
Private Fountain B. Woodruff,Gunfire,1860-02-04,Texas Rangers,TX,Texas
Sheriff Thomas S. Milligan,Assault,1860-02-19,Mason County Sheriff's Department,TX,Texas
Officer C. Edward Foley,Gunfire,1860-03-10,Houston Police Department,TX,Texas
Patrolman W. Stith Tucker,Other,1860-05-05,Memphis Police Department,TN,Tennessee
Police Officer Levi Washington Davis,Gunfire,1860-05-07,Springville Police Department,UT,Utah
Patrol Officer William Loughrey,Other,1860-06-26,Cambridge Police Department,MA,Massachusetts
Deputy Sheriff Thomas Shain,Gunfire,1860-07-02,Collin County Sheriff's Office,TX,Texas
Constable Miles Huntsman,Gunfire,1860-07-26,Amador County Constable's Office,CA,California
Deputy Thomas Nolan,Gunfire,1860-08-15,Nueces County Sheriff's Office,TX,Texas
Officer Claborne Long,Other,1861-01-09,Cincinnati Police Department,OH,Ohio
Officer Daniel Hallam,Other,1861-01-10,Cincinnati Police Department,OH,Ohio
Sheriff Jesse Sut Harris,Gunfire,1861-06-06,Brown County Sheriff's Department,TX,Texas
Officer Patrick Nuttle,Other,1861-06-11,Cincinnati Police Department,OH,Ohio
Policeman Nehum M. Pratte,Gunfire,1861-06-17,St. Louis Metropolitan Police Department,MO,Missouri
Keeper Augustus T. Wright,Assault,1861-07-11,New York State Department of Correctional Services,NY,New York
Patrolman David Martin,Other,1861-08-06,New York Metropolitan Police Force,NY,New York
Sheriff John B. York,Other,1861-08-24,Tarrant County Sheriff's Department,TX,Texas
Sheriff John L. Blackburn,Other,1861-11-28,Carson County Sheriff's Office,NV,Nevada
Police Officer John C. Gilmore,Gunfire,1861-12-24,St. Louis Metropolitan Police Department,MO,Missouri
Patrolman John W. Causey,Other,1861-12-31,Memphis Police Department,TN,Tennessee
Patrolman Ben S. Rust,Gunfire,1862-01-16,Louisville Police Department,KY,Kentucky
Warden Daniel Webster,Other,1862-03-27,Connecticut Department of Correction,CT,Connecticut
Sheriff N. F. Scott,Gunfire,1862-04-05,Mono County Sheriff's Office,CA,California
Constable John Welch,Gunfire,1862-04-14,Evansville Police Department,IN,Indiana
Patrolman Henry L. Williams,Gunfire,1862-10-14,New York Metropolitan Police Force,NY,New York
Deputy Sheriff Martin Roohan,Other,1862-10-23,Santa Clara County Sheriff's Office,CA,California
Sergeant John Sturdy,Assault,1863-04-10,St. Louis Metropolitan Police Department,MO,Missouri
Police Officer Dennis McMahon,Gunfire,1863-04-12,Virginia City Police Department,NV,Nevada
Police Officer Thomas Reed,Gunfire,1863-04-12,Virginia City Police Department,NV,Nevada
Warden Richard Tinker,Other,1863-05-14,Maine Department of Corrections,ME,Maine
Deputy Sheriff D. H. Dillingham,Gunfire,1863-06-29,Bannock County Sheriff's Department,ID,Idaho
Patrolman Edward Dippel,Gunfire,1863-07-19,New York Metropolitan Police Force,NY,New York
Patrolman Peter McIntyre,Assault,1863-08-09,New York Metropolitan Police Force,NY,New York
Officer John F. Baylis,Gunfire,1863-09-09,Wilmington Police Department,DE,Delaware
Sheriff William H. Tainter,Other,1863-10-23,Mendocino County Sheriff's Office,CA,California
Patrolman John T. Van Buren,Assault,1863-11-07,New York Metropolitan Police Force,NY,New York
Patrolman John Starkey,Assault,1864-01-20,New York Metropolitan Police Force,NY,New York
Patrolman Austin H. Easterbrook,Other,1864-02-06,New York Metropolitan Police Force,NY,New York
Deputy Warden Joseph T. Clark,Assault,1864-05-08,Illinois Department of Corrections,IL,Illinois
Patrolman George W. Duryea,Gunfire,1864-05-16,New York Metropolitan Police Force,NY,New York
Deputy Sheriff Andrew Kriss,Gunfire,1864-05-25,San Diego County Sheriff's Department,CA,California
Deputy Joseph Staples,Gunfire,1864-07-01,El Dorado County Sheriff's Department,CA,California
Patrolman John J. O'Brien,Gunfire,1864-08-25,New York Metropolitan Police Force,NY,New York
Deputy Marshal Charles Ring,Gunfire,1864-09-14,Saginaw Police Department,MI,Michigan
Sheriff Harvey Staten Cox,Assault,1864-09-15,Young County Sheriff's Office,TX,Texas
Sheriff Robert Carmen,Gunfire,1864-09-20,Chariton County Sheriff's Department,MO,Missouri
Patrolman Charles Curren,Gunfire,1864-10-06,New York Metropolitan Police Force,NY,New York
Patrolman Joseph Nulett,Gunfire,1864-11-07,New York Metropolitan Police Force,NY,New York
Sheriff Matthew Nolan,Gunfire,1864-12-22,Nueces County Sheriff's Office,TX,Texas
Sheriff William W. Armstrong,Other,1864-12-29,Jefferson County Sheriff's Department,WA,Washington
Policeman George Dill,Gunfire,1865-01-10,Buffalo Police Department,NY,New York
Guard Daniel Heavey,Other,1865-01-19,Ohio Department of Rehabilitation and Correction,OH,Ohio
Sergeant W.C. Stockham,Gunfire,1865-02-22,Memphis Police Department,TN,Tennessee
"Sheriff John Quincy Daugherty, Sr.",Gunfire,1865-03-18,Uvalde County Sheriff's Office,TX,Texas
Deputy Sheriff O. John Hart,Gunfire,1865-05-01,Umatilla County Sheriff's Department,OR,Oregon
Sheriff Cornelius Sage,Gunfire,1865-05-03,Yuma County Sheriff's Department,AZ,Arizona
Sheriff Joseph E. Branscomb,Gunfire,1865-07-31,DeKalb County Sheriff's Office,MO,Missouri
"Officer Thomas DeVane, V",Gunfire,1865-08-05,Wilmington Police Department,NC,North Carolina
Patrolman Thomas Walker,Gunfire,1865-08-15,New York Metropolitan Police Force,NY,New York
Constable Andrew J. Frank,Gunfire,1865-09-16,Suspension Bridge Village Police Department,NY,New York
Sheriff John H. Payntor,Gunfire,1865-10-05,Cedar County Sheriff's Office,MO,Missouri
Lieutenant William L. Harville,Gunfire,1865-10-05,Cedar County Sheriff's Office,MO,Missouri
Sheriff Benjamen McLean,Assault,1866-02-09,Shelby County Sheriff's Office,OH,Ohio
Deputy Sheriff William H. Hendricks,Gunfire,1866-02-15,Santa Clara County Sheriff's Office,CA,California
Sheriff George Rogers,Gunfire,1866-03-01,Lincoln County Sheriff's Office,NV,Nevada
Patrolman William Mower,Gunfire,1866-03-01,Memphis Police Department,TN,Tennessee
Patrolman John Stevens,Gunfire,1866-05-01,Memphis Police Department,TN,Tennessee
Policeman John Curry,Other,1866-05-08,Leavenworth Police Department,KS,Kansas
Sheriff William Read McMullen,Gunfire,1866-05-19,Angelina County Sheriff's Office,TX,Texas
Town Marshal Jesse Dickson,Gunfire,1866-05-21,Quincy Police Department,FL,Florida
Jailer Henry Bugler,Gunfire,1866-06-13,Jackson County Sheriff's Office,MO,Missouri
Jailer Uriah S. Gregory,Assault,1866-06-21,Storey County Sheriff's Office,NV,Nevada
Private Alvin A. Clark,Gunfire,1866-06-29,Texas Rangers,TX,Texas
Patrolman John Fuchs,Gunfire,1866-07-04,Morrisania Police Department,NY,New York
Deputy Sheriff John Ormsby,Gunfire,1866-07-10,Fremont County Sheriff's Department,IA,Iowa
Officer Thomas A. Welch,Gunfire,1866-08-17,Omaha Police Department,NE,Nebraska
Patrolman John Hipwell,Gunfire,1866-10-09,Brooklyn Police Department,NY,New York
Officer Charles E. Gall,Assault,1866-10-10,Hagerstown Police Department,MD,Maryland
City Marshal Felix A. Boller,Gunfire,1866-12-12,Ogden Police Department,KS,Kansas
Policeman Silas Benjamin Newcomb,Gunfire,1866-12-18,Victoria Police Department,TX,Texas
Deputy Sheriff Horace P. Stewart,Gunfire,1867-02-18,Spokane County Sheriff's Department,WA,Washington
Deputy Sheriff Mat Green,Gunfire,1867-03-01,Lamar County Sheriff's Department,TX,Texas
Sheriff Joseph Bailey,Gunfire,1867-03-26,Vernon County Sheriff's Department,MO,Missouri
Patrolman John M. Claridge,Gunfire,1867-04-23,Memphis Police Department,TN,Tennessee
Deputy Sheriff George Frank S. Griffin,Gunfire,1867-05-23,Ray County Sheriff's Department,MO,Missouri
Jailer Barry G. Griffin,Gunfire,1867-05-23,Ray County Sheriff's Department,MO,Missouri
Deputy Sheriff Isaac Ward,Gunfire,1867-05-23,Jack County Sheriff's Department,TX,Texas
Patrolman Walter M. Rogers,Gunfire,1867-06-04,Memphis Police Department,TN,Tennessee
Sheriff Samuel Lewis,Gunfire,1867-07-31,McNairy County Sheriff's Department,TN,Tennessee
Deputy City Marshal Thomas G. O'Conner,Gunfire,1867-08-08,Portland Police Bureau,OR,Oregon
Deputy Constable Richard P. Ryan,Gunfire,1867-08-31,Ophir City Constable's Office,NV,Nevada
City Marshal Charles H. Keeler,Gunfire,1867-09-05,The Dalles Police Department,OR,Oregon
Town Marshal Reuben Fenstenmaker,Gunfire,1867-09-11,Farmington Marshal's Office,IA,Iowa
Patrolman Van Ness Wells,Other,1867-09-26,San Antonio Police Department,TX,Texas
Patrolman Robert S. McChesney,Other,1867-10-19,New York Metropolitan Police Force,NY,New York
Police Officer Richard B. Richardson,Gunfire,1867-10-23,Oakland Police Department,CA,California
Patrolman Charles Thompson,Other,1867-12-01,New York Metropolitan Police Force,NY,New York
Sheriff Benjamin Franklin Orcutt,Gunfire,1867-12-12,Kalamazoo County Sheriff's Department,MI,Michigan
Sheriff Timothy B. Smith,Gunfire,1867-12-17,Ormsby County Sheriff's Office,NV,Nevada
Night Watchman Joseph Burnham,Gunfire,1867-12-23,Haverhill Police Department,MA,Massachusetts
Patrolman John M. Fenton,Gunfire,1867-12-31,Memphis Police Department,TN,Tennessee
Patrolman William Dozier,Gunfire,1868-01-01,Knoxville Police Department,TN,Tennessee
Captain John McKinstry,Gunfire,1868-02-22,Mattoon Police Department,IL,Illinois
Patrolman William Levan,Heart attack,1868-02-27,Reading Police Department,PA,Pennsylvania
Patrolman John Gear,Gunfire,1868-03-13,Memphis Police Department,TN,Tennessee
Sheriff James Cochran,Other,1868-03-17,Trinity County Sheriff's Department,CA,California
Policeman David Calvin Crandall,Gunfire,1868-04-18,Capital Police District,NY,New York
Officer Butch Dobler,Gunfire,1868-06-02,Marysville Police Department,CA,California
Captain James Somers Perry,Gunfire,1868-06-12,Memphis Police Department,TN,Tennessee
Patrolman John W. Skinner,Gunfire,1868-06-16,St. Louis Metropolitan Police Department,MO,Missouri
Constable Manuel Garcia Y Griego,Gunfire,1868-06-24,Ranchos de Albuquerque Constable's Office,NM,New Mexico
Patrolman Henry Corbett,Other,1868-07-13,New York Metropolitan Police Force,NY,New York
Deputized Civilian Walter Williams,Gunfire,1868-07-18,Storey County Sheriff's Office,NV,Nevada
Patrolman John Smedick,Gunfire,1868-07-23,New York Metropolitan Police Force,NY,New York
Deputy Marshal Robert Goode,Gunfire,1868-07-28,Columbus Police Department,TX,Texas
Patrolman John P. Brady,Other,1868-09-27,Wheeling Police Department,WV,West Virginia
Policeman James Young,Gunfire,1868-10-14,Philadelphia Police Department,PA,Pennsylvania
Patrolman Samuel Bryson,Gunfire,1868-11-04,Savannah Police Department,GA,Georgia
Patrolman Robert E. Read,Gunfire,1868-11-05,Savannah Police Department,GA,Georgia
City Marshal William Dean Sanford,Gunfire,1868-11-20,Jefferson Police Department,TX,Texas
Police Officer David S. Faulkner,Gunfire,1868-12-22,Malden Police Department,MA,Massachusetts
Patrolman Nathan Haynes,Gunfire,1869-01-01,Knoxville Police Department,TN,Tennessee
City Marshal John T. Thompson,Gunfire,1869-02-22,Covington Police Department,KY,Kentucky
Sergeant D. J. Finch,Gunfire,1869-03-08,Memphis Police Department,TN,Tennessee
Deputy Sheriff James W. Wood,Gunfire,1869-03-12,Ouachita Parish Sheriff's Office,LA,Louisiana
Keeper Edwin A. Craft,Assault,1869-03-18,New York State Department of Correctional Services,NY,New York
Officer Ignatio Andrea,Other,1869-04-14,Jacksonville Police Department,FL,Florida
Deputy Sheriff William C. Hall,Gunfire,1869-04-24,Collin County Sheriff's Office,TX,Texas
Chief of Police Michael Baer,Gunfire,1869-05-26,Fort Smith Police Department,AR,Arkansas
Sheriff Leonard C. DeLisle,Gunfire,1869-05-27,Harrison County Sheriff's Office,TX,Texas
Sheriff Orson Rodolphus Colgrove,Gunfire,1869-05-29,Jones County Sheriff's Office,NC,North Carolina
Sheriff Andrew Jackson Jacobs,Gunfire,1869-06-05,Goliad County Sheriff's Department,TX,Texas
Officer Thomas Kirkham,Other,1869-07-01,Richmond Police Department,VA,Virginia
Patrolman John O'Connell,Gunfire (Accidental),1869-07-08,Louisville Police Department,KY,Kentucky
City Marshal Robert A. Clark,Gunfire,1869-07-10,Black Hawk Police Department,CO,Colorado
Patrolman Thomas D. Moore,Other,1869-07-12,Muscatine Police Department,IA,Iowa
Patrolman Issac Wiltse,Gunfire,1869-07-17,Owego Police Department,NY,New York
Deputy Sheriff Henry Pratt,Gunfire,1869-07-30,Tazewell County Sheriff's Office,IL,Illinois
Deputy Sheriff S. D. Sheldon,Gunfire,1869-08-02,Elko County Sheriff's Office,NV,Nevada
